ProductCode	MasterProductCode	ProductName	ProductAlternateName	UPC	SKU	ProductDescription	ProductAlternateDescription	ManufacturerCode	ManufacturerName	ManufacturerAlternateName	ProductHierarchyLevel1Code	ProductHierarchyLevel1Name	ProductHierarchyLevel1AlternateName	ProductHierarchyLevel2Code	ProductHierarchyLevel2Name	ProductHierarchyLevel2AlternateName	ProductHierarchyLevel3Code	ProductHierarchyLevel3Name	ProductHierarchyLevel3AlternateName	ProductHierarchyLevel4Code	ProductHierarchyLevel4Name	ProductHierarchyLevel4AlternateName	ProductHierarchyLevel5Code	ProductHierarchyLevel5Name	ProductHierarchyLevel5AlternateName	BrandHierarchyLevel1Code	BrandHierarchyLevel1Name	BrandHierarchyLevel1AlternateName	BrandHierarchyLevel2Code	BrandHierarchyLevel2Name	BrandHierarchyLevel2AlternateName	ProductUnitSizeCode	ProductUnitSizeName	ProductUnitSizeAlternateName	ProductUnitSize	ProductUnitUOM	PackageType	PackageSize	PackageUOM	PackageUnits	IsControlLabel	ProductCustomAttribute1Name	ProductCustomAttribute1Value	ProductCustomAttribute1AlternateValue	ProductCustomAttribute2Name	ProductCustomAttribute2Value	ProductCustomAttribute2AlternateValue	ProductCustomAttribute3Name	ProductCustomAttribute3Value	ProductCustomAttribute3AlternateValue	ProductCustomAttribute4Name	ProductCustomAttribute4Value	ProductCustomAttribute4AlternateValue	ProductCustomAttribute5Name	ProductCustomAttribute5Value	ProductCustomAttribute5AlternateValue	ProductCustomAttribute6Name	ProductCustomAttribute6Value	ProductCustomAttribute6AlternateValue	ProductCustomAttribute7Name	ProductCustomAttribute7Value	ProductCustomAttribute7AlternateValue	ProductCustomAttribute8Name	ProductCustomAttribute8Value	ProductCustomAttribute8AlternateValue	ProductCustomAttribute9Name	ProductCustomAttribute9Value	ProductCustomAttribute9AlternateValue	ProductCustomAttribute10Name	ProductCustomAttribute10Value	ProductCustomAttribute10AlternateValue	VendorCode	VendorName	LargeClusterStatus	MediumClusterStatus	SmallClusterStatus	EqualizedUnitsConversionFactor
12	12	Unknown status code	nknown status codeU-ay	4000222012	321-12	Unknown status code	nknown status codeU-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category One	Category One	ategory OneC-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.2	C2.2	2.2C-ay	C3.1	C3.1	3.1C-ay	C4.2	C4.2	4.2C-ay	C5.2	C5.2	5.2C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.4	C9.4	9.4C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever	ZZZ	ZZZ	ZZZ	10
13	13	Missing status code	issing status codeM-ay	4000222013	321-13	Missing status code	issing status codeM-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category One	Category One	ategory OneC-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	Brand Two	Brand Two	rand TwoB-ay	Brand Two Sugar Free	Brand Two Sugar Free	rand Two Sugar FreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.3	C3.3	3.3C-ay	C4.2	C4.2	4.2C-ay	C5.1	C5.1	5.1C-ay	C6.2	C6.2	6.2C-ay	C7.1	C7.1	7.1C-ay	C8.3	C8.3	8.3C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever				7
14	14	Discontinued status code	iscontinued status codeD-ay	4000222014	321-14	Discontinued status code	iscontinued status codeD-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category One	Category One	ategory OneC-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Brand Four	Brand Four	rand FourB-ay	Brand Four	Brand Four	rand FourB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.3	C4.3	4.3C-ay	C5.1	C5.1	5.1C-ay	C6.3	C6.3	6.3C-ay	C7.1	C7.1	7.1C-ay	C8.2	C8.2	8.2C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever	Discontinued	Discontinued	Discontinued	9
15	15	Promotional status code	romotional status codeP-ay	4000222015	321-15	Promotional status code	romotional status codeP-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category One	Category One	ategory OneC-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	CL Brand One	CL Brand One	L Brand OneC-ay	CL Brand One	CL Brand One	L Brand OneC-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.4	C3.4	3.4C-ay	C4.4	C4.4	4.4C-ay	C5.3	C5.3	5.3C-ay	C6.4	C6.4	6.4C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever	Promotional	Promotional	Promotional	9
16	16	"Innovation item well "" distributed"	"nnovation item well "" distributedI-ay"	4000222016	321-16	"Innovation item well "" distributed"	"nnovation item well "" distributedI-ay"	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category One	Category One	ategory OneC-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Brand Two	Brand Two	rand TwoB-ay	Brand Two Regular	Brand Two Regular	rand Two RegularB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.4	C3.4	3.4C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.3	C7.3	7.3C-ay	C8.1	C8.1	8.1C-ay	C9.2	C9.2	9.2C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever	Core	Core	Core	8
17	17	"Innovation item poorly "" distributed"	"nnovation item poorly "" distributedI-ay"	4000222017	321-17	"Innovation item poorly "" distributed"	"nnovation item poorly "" distributedI-ay"	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category One	Category One	ategory OneC-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Subcategory One A	Subcategory One A	ubcategory One AS-ay	Brand Three	Brand Three	rand ThreeB-ay	Brand Three	Brand Three	rand ThreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.4	C4.4	4.4C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.3	C7.3	7.3C-ay	C8.1	C8.1	8.1C-ay	C9.2	C9.2	9.2C-ay	C10.2	C10.2	10.2C-ay	V1	Unilever	Core	Core	Core	10
18	18	Innovation item last year	nnovation item last yearI-ay	4000222018	321-18	Innovation item last year	nnovation item last yearI-ay	M3	Unilever	nileverU-ay	Grocery	Grocery	roceryG-ay	Category One	Category One	ategory OneC-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	Subcategory One B	Subcategory One B	ubcategory One BS-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.2	1.2C-ay	C2.2	C2.2	2.2C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.3	C8.3	8.3C-ay	C9.1	C9.1	9.1C-ay	C10.1	C10.1	10.1C-ay	V2	Nestle	Core	Core	Core	2
19	19	Planogrammed item well distributed	lanogrammed item well distributedP-ay	4000222019	321-19	Planogrammed item well distributed	lanogrammed item well distributedP-ay	M3	Unilever	nileverU-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	CL Brand One	CL Brand One	L Brand OneC-ay	CL Brand One	CL Brand One	L Brand OneC-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	Custom Attribute 1	C1.2	1.2C-ay	C2.1	C2.1	2.1C-ay	C3.2	C3.2	3.2C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.4	C7.4	7.4C-ay	C8.2	C8.2	8.2C-ay	C9.3	C9.3	9.3C-ay	C10.1	C10.1	10.1C-ay	V2	Nestle	Core	Core	Core	5
20	20	Planogrammed item poorly distributed	lanogrammed item poorly distributedP-ay	4000222020	321-20	Planogrammed item poorly distributed	lanogrammed item poorly distributedP-ay	M3	Unilever	nileverU-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Brand Two	Brand Two	rand TwoB-ay	Brand Two Sugar Free	Brand Two Sugar Free	rand Two Sugar FreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.3	C5.3	5.3C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.4	C9.4	9.4C-ay	C10.1	C10.1	10.1C-ay	V2	Nestle	Core	Core		2
21	21	Non-planogrammed item	on-planogrammed itemN-ay	4000222021	321-21	Non-planogrammed item	on-planogrammed itemN-ay	M3	Unilever	nileverU-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Plano	Plano	lanoP-ay	Brand Four	Brand Four	rand FourB-ay	Brand Four	Brand Four	rand FourB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.2	C2.2	2.2C-ay	C3.3	C3.3	3.3C-ay	C4.1	C4.1	4.1C-ay	C5.2	C5.2	5.2C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.2	C9.2	9.2C-ay	C10.1	C10.1	10.1C-ay	V2	Nestle	Core	Core	Core	6
22	22	Promoted item	romoted itemP-ay	4000222022	321-22	Promoted item	romoted itemP-ay	M1	ACME	CMEA-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.1	C4.1	4.1C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.2	C7.2	7.2C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.1	C10.1	10.1C-ay	V2	Nestle	Core	Core	Core	8
23	23	Non-promoted item	on-promoted itemN-ay	4000222023	321-23	Non-promoted item	on-promoted itemN-ay	M2	Nestle	estleN-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	CL Brand One	CL Brand One	L Brand OneC-ay	CL Brand One	CL Brand One	L Brand OneC-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	1	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.2	C3.2	3.2C-ay	C4.2	C4.2	4.2C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.3	C9.3	9.3C-ay	C10.1	C10.1	10.1C-ay	V1	Unilever	Core	Core	Core	1
24	24	Crazy high SPPD	razy high SPPDC-ay	4000222024	321-24	Crazy high SPPD	razy high SPPDC-ay	M3	Unilever	nileverU-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	Subcategory Two A	Subcategory Two A	ubcategory Two AS-ay	Brand One	Brand One	rand OneB-ay	Brand One Diet	Brand One Diet	rand One DietB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.1	C3.1	3.1C-ay	C4.2	C4.2	4.2C-ay	C5.3	C5.3	5.3C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.4	C9.4	9.4C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	7
25	25	Penny item	enny itemP-ay	4000222025	321-25	Penny item	enny itemP-ay	M1	ACME	CMEA-ay	Grocery	Grocery	roceryG-ay	Category Two	Category Two	ategory TwoC-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Subcategory Two B	Subcategory Two B	ubcategory Two BS-ay	Brand Three	Brand Three	rand ThreeB-ay	Brand Three	Brand Three	rand ThreeB-ay	UNKNOWN	UNKNOWN	INCONNU	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	0	Custom Attribute 1	C1.1	1.1C-ay	C2.1	C2.1	2.1C-ay	C3.3	C3.3	3.3C-ay	C4.3	C4.3	4.3C-ay	C5.1	C5.1	5.1C-ay	C6.1	C6.1	6.1C-ay	C7.1	C7.1	7.1C-ay	C8.1	C8.1	8.1C-ay	C9.1	C9.1	9.1C-ay	C10.2	C10.2	10.2C-ay	V2	Nestle	Core	Core	Core	4
